# If using '#' or the data(line) cannot be divided into 3, it wouldn't be included
# The valid data must consist of string divided into 3 without '#'

# Data : [start node] [end node] [weight(int, sec)] [(optional) two-way]
# Node : Building-Floor-Entity
# Entity : {room(only decimal), elevator(E prefixed),
#           stair(S), exit(X), hall way(H)}

# A (B) C D G H I J P R

외부-1-1 외부-1-2 8 t
외부-1-1 외부-1-5 28 t
외부-1-2 R-B1-X1 3 t
R-1-X1 R-1-M2 8 t
외부-1-4 M-1-X1 1 t
외부-1-1 외부-1-4 58 t
외부-1-2 외부-1-3 32 t
외부-1-5 외부-1-6 13 t
외부-1-5 M-1-X3 34 t
외부-1-5 R-B1-X2 4 t
외부-1-6 R-1-X2 4 t
외부-1-11 R-3-X1 3 t
외부-1-11 외부-1-300 11 t
외부-1-10 외부-1-300 7 t
외부-1-10 외부-1-304 5 t
외부-1-303 외부-1-304 9 t
외부-1-302 외부-1-303 2 t
외부-1-301 외부-1-302 9 t
외부-1-9 외부-1-302 3 t
외부-1-309 R-2-X1 2 t
외부-1-301 외부-1-309 2 t
외부-1-8 외부-1-309 5 t
외부-1-9 외부-1-10 15 t
외부-1-9 외부-1-14 61 t
외부-1-9 K-1-X1 1 t
외부-1-6 외부-1-8 14 t
외부-1-6 외부-1-7 34 t
외부-1-7 외부-1-8 29 t
외부-1-7 외부-1-13 33 t
외부-1-7 외부-1-12 50 t
외부-1-12 외부-1-46 42 t
외부-1-44 외부-1-46 8 t
외부-1-13 외부-1-44 64 t
외부-1-13 외부-1-14 22 t
외부-1-14 K-1-X2 6 t
외부-1-14 외부-1-16 7 t
외부-1-16 외부-1-17 4 t
외부-1-17 L-1-X1 2 t
외부-1-17 외부-1-18 14 t
외부-1-15 외부-1-16 15 t
외부-1-15 외부-1-311 29 t
외부-1-311 L-4-X2 14 t
외부-1-311 G-4-X1 5 t
외부-1-15 외부-1-42 24 t
외부-1-18 외부-1-20 12 t
외부-1-19 외부-1-20 4 t
외부-1-19 K-4-X1 13 t
외부-1-20 외부-1-21 22 t
외부-1-20 L-4-X1 2 t
외부-1-21 외부-1-22 7 t
외부-1-21 J-1-X1 2 t
외부-1-22 외부-1-24 10 t
외부-1-22 J-2-X1 2 t
외부-1-24 외부-1-25 6 t
외부-1-24 외부-1-26 7 t
외부-1-24 I-1-X1 4 t
외부-1-25 J-3-X1 2 t
외부-1-26 외부-1-27 5 t
외부-1-26 L-7-X1 4 t
외부-1-27 외부-1-28 17 t
외부-1-27 I-1-X2 4 t
외부-1-28 외부-1-29 9 t
P-5-X1 I-4-X1 6 t
P-6-X1 I-5-X1 6 t
P-7-X1 I-6-X1 6 t
외부-1-29 외부-1-30 20 t
외부-1-29 P-1-X1 3 t
외부-1-30 외부-1-31 5 t
외부-1-30 P-1-X2 3 t
외부-1-31 P-B2-1 3 t
외부-1-31 외부-1-32 2 t
외부-1-32 외부-1-33 4 t
