R-B1-1:RB101,R동 B1층 1호
R-4-1:R401,R동 4층 1호
R-4-2:R402,R동 4층 2호
R-4-3:R403,R동 4층 3호
R-4-4:R404,R동 4층 4호
R-4-5:R405,R동 4층 5호
R-4-6:R406,R동 4층 6호
R-4-7:R407,R동 4층 7호
R-4-8:R408,R동 4층 8호
R-4-9:R409,R동 4층 9호
R-4-10:R410,R동 4층 10호
R-4-11:R411,R동 4층 11호
R-4-12:R412,R동 4층 12호
R-4-13:R413,R동 4층 13호
R-4-14:R414,R동 4층 14호
R-4-15:R415,R동 4층 15호
R-4-16:R416,R동 4층 16호
R-4-17:R417,R동 4층 17호
R-4-18:R418,R동 4층 18호
R-4-19:R419,R동 4층 19호
R-4-20:R420,R동 4층 20호
R-4-21:R421,R동 4층 21호
R-4-22:R422,R동 4층 22호
R-4-23:R423,R동 4층 23호
R-4-24:R424,R동 4층 24호
R-4-25:R425,R동 4층 25호
R-4-26:R426,R동 4층 26호
R-5-1:R501,R동 5층 1호
R-5-2:R502,R동 5층 2호
R-5-3:R503,R동 5층 3호
R-5-4:R504,R동 5층 4호
R-5-5:R505,R동 5층 5호
R-5-6:R506,R동 5층 6호
R-5-7:R507,R동 5층 7호
R-5-8:R508,R동 5층 8호
R-5-9:R509,R동 5층 9호
R-5-10:R510,R동 5층 10호
R-5-11:R511,R동 5층 11호
R-5-12:R512,R동 5층 12호
R-5-13:R513,R동 5층 13호
R-5-14:R514,R동 5층 14호
R-5-15:R515,R동 5층 15호
R-5-16:R516,R동 5층 16호
R-5-17:R517,R동 5층 17호
R-5-18:R518,R동 5층 18호
R-5-19:R519,R동 5층 19호
R-5-20:R520,R동 5층 20호
R-5-21:R521,R동 5층 21호
R-5-22:R522,R동 5층 22호
R-5-23:R523,R동 5층 23호
R-5-24:R524,R동 5층 24호
R-5-25:R525,R동 5층 25호
R-5-26:R526,R동 5층 26호
R-5-27:R527,R동 5층 27호
R-5-28:R528,R동 5층 28호
R-5-29:R529,R동 5층 29호
R-5-30:R530,R동 5층 30호
R-5-31:R531,R동 5층 31호
R-5-32:R532,R동 5층 32호
R-5-33:R533,R동 5층 33호
R-5-34:R534,R동 5층 34호
R-5-35:R535,R동 5층 35호
R-5-36:R536,R동 5층 36호
R-6-1:R601,R동 6층 1호
R-6-2:R602,R동 6층 2호
